x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
9.4691349,-62.4468902,1.3717345,1.3717345,-0.0807149,8.4999674,1.274995
9.5086793,-62.2508672,1.3584245,1.3584245,-0.0665904,8.4999674,1.274995
9.5508292,-62.0553878,1.3478997,1.3478997,-0.0524277,8.4999674,1.274995
9.5950343,-61.8603620,1.3398182,1.3398182,-0.0401394,8.4999673,1.274995
9.6408140,-61.6657000,1.3336987,1.3336987,-0.0303495,8.4999672,1.274995
9.6877840,-61.4713221,1.3290836,1.3290836,-0.0228865,8.4999672,1.274995
9.7356505,-61.2771633,1.3256013,1.3256013,-0.0172750,8.4999671,1.274995
9.7841927,-61.0831729,1.3229718,1.3229718,-0.0130542,8.4999671,1.274995
9.8332447,-60.8893113,1.3209854,1.3209854,-0.0098638,8.4999671,1.274995
9.8826816,-60.6955479,1.3194866,1.3194866,-0.0074465,8.4999670,1.274995
9.9324087,-60.5018594,1.3183552,1.3183552,-0.0056236,8.4999670,1.274995
9.9823548,-60.3082277,1.3174959,1.3174959,-0.0042695,8.4999670,1.274995
10.0324672,-60.1146393,1.3168335,1.3168335,-0.0032932,8.4999670,1.274995
10.0827077,-59.9210846,1.3163051,1.3163051,-0.0026252,8.4999670,1.274995
10.1330504,-59.7275567,1.3158615,1.3158615,-0.0022089,8.4999670,1.274995
10.1834789,-59.5340513,1.3154608,1.3154608,-0.0019954,8.4999670,1.274995
10.2339849,-59.3405663,1.3150709,1.3150709,-0.0019411,8.4999670,1.274995
10.2845663,-59.1471011,1.3146695,1.3146695,-0.0020059,8.4999670,1.274995
10.3352254,-58.9536561,1.3142384,1.3142384,-0.0021540,8.4999670,1.274995
10.3859679,-58.7602329,1.3137670,1.3137670,-0.0023540,8.4999670,1.274995
10.4368016,-58.5668335,1.3132508,1.3132508,-0.0025815,8.4999670,1.274995
10.4877352,-58.3734601,1.3126868,1.3126868,-0.0028211,8.4999670,1.274995
10.5387779,-58.1801153,1.3120732,1.3120732,-0.0030670,8.4999671,1.274995
10.5899393,-57.9868016,1.3114098,1.3114098,-0.0033188,8.4999671,1.274995
10.6412290,-57.7935216,1.3106936,1.3106936,-0.0035796,8.4999671,1.274995
10.6926572,-57.6002781,1.3099228,1.3099228,-0.0038539,8.4999671,1.274995
10.7442344,-57.4070740,1.3090934,1.3090934,-0.0041459,8.4999671,1.274995
10.7959719,-57.2139125,1.3082017,1.3082017,-0.0044587,8.4999672,1.274995
10.8478817,-57.0207969,1.3072433,1.3072433,-0.0047934,8.4999672,1.274995
10.8999766,-56.8277310,1.3062128,1.3062128,-0.0051486,8.4999672,1.274995
10.9522705,-56.6347186,1.3051093,1.3051093,-0.0055203,8.4999672,1.274995
11.0047774,-56.4417639,1.3039293,1.3039293,-0.0059011,8.4999672,1.274995
11.0575120,-56.2488711,1.3026737,1.3026737,-0.0062807,8.4999673,1.274995
11.1104888,-56.0560445,1.3013452,1.3013452,-0.0066451,8.4999673,1.274995
11.1637217,-55.8632885,1.2999511,1.2999511,-0.0069767,8.4999673,1.274995
11.2172233,-55.6706068,1.2985019,1.2985019,-0.0072545,8.4999673,1.274995
11.2710041,-55.4780028,1.2970133,1.2970133,-0.0074533,8.4999674,1.274995
11.3250715,-55.2854792,1.2955078,1.2955078,-0.0075447,8.4999674,1.274995
11.3794287,-55.0930372,1.2940117,1.2940117,-0.0074964,8.4999674,1.274995
11.4340737,-54.9006769,1.2925618,1.2925618,-0.0072727,8.4999674,1.274995
11.4889975,-54.7083962,1.2912003,1.2912003,-0.0068347,8.4999674,1.274995
11.5441830,-54.5161906,1.2899781,1.2899781,-0.0061410,8.4999675,1.274995
11.5996033,-54.3240528,1.2889556,1.2889556,-0.0051481,8.4999675,1.274995
11.6552200,-54.1319719,1.2882012,1.2882012,-0.0038111,8.4999675,1.274995
11.7109815,-53.9399333,1.2877927,1.2877927,-0.0020855,8.4999675,1.274995
