x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
17.9141355,24.1258383,-0.5587777,-0.5587777,-0.1124398,8.4999504
18.0834942,24.0199471,-0.5821382,-0.5821382,-0.1169874,8.4999557
18.2504383,23.9100597,-0.6062336,-0.6062336,-0.1205992,8.4999541
18.4147627,23.7961291,-0.6308859,-0.6308859,-0.1233239,8.4999478
18.5762753,23.6781486,-0.6559223,-0.6559223,-0.1252161,8.4999415
18.7348021,23.5561477,-0.6811921,-0.6811921,-0.1263798,8.4999364
18.8901945,23.4301812,-0.7065701,-0.7065701,-0.1269307,8.4999317
19.0423285,23.3003223,-0.7319544,-0.7319544,-0.1269836,8.4999263
19.1911015,23.1666582,-0.7572676,-0.7572676,-0.1266462,8.4999198
19.3364286,23.0292857,-0.7824525,-0.7824525,-0.1260147,8.4999144
19.4782383,22.8883090,-0.8074686,-0.8074686,-0.1251731,8.4999151
19.6164698,22.7438371,-0.8322899,-0.8322899,-0.1241943,8.4999268
19.7510698,22.5959826,-0.8569035,-0.8569035,-0.1231400,8.4999492
19.8819902,22.4448602,-0.8813039,-0.8813039,-0.1220634,8.4999735
20.0091871,22.2905855,-0.9054949,-0.9054949,-0.1209969,8.4999898
20.1326191,22.1332741,-0.9294853,-0.9294853,-0.1199813,8.4999760
20.2522465,21.9730410,-0.9532853,-0.9532853,-0.1190175,8.4998620
20.3680311,21.8100004,-0.9768982,-0.9768982,-0.1180725,8.4996241
20.4799375,21.6442662,-1.0003213,-1.0003213,-0.1171126,8.4993311
20.5879342,21.4759524,-1.0235420,-1.0235420,-0.1161056,8.4992023
20.6919953,21.3051739,-1.0465226,-1.0465226,-0.1149053,8.4996548
20.7921054,21.1320481,-1.0691932,-1.0691932,-0.1133586,8.4999519
20.8882647,20.9566984,-1.0914464,-1.0914464,-0.1112738,8.4999650
20.9804984,20.7792525,-1.1131643,-1.1131643,-0.1086220,8.4999665
21.0688563,20.5998467,-1.1341160,-1.1341160,-0.1048660,8.4999675
21.1534251,20.4186530,-1.1537284,-1.1537284,-0.0982777,8.4999680
21.2344141,20.2358585,-1.1712571,-1.1712571,-0.0878575,8.4999684
21.3121868,20.0516722,-1.1859542,-1.1859542,-0.0736862,8.4999685
21.3872448,19.8663613,-1.1972495,-1.1972495,-0.0565265,8.4999686
21.4602056,19.6802127,-1.2051559,-1.2051559,-0.0394658,8.4999686
21.5316935,19.4934901,-1.2101611,-1.2101611,-0.0249069,8.4999686
